FILE_GROUP_TITLE	CONTENT_TYPE	ITEM_ARK	FILE_USE	SEQ	FILE_SIZE	CREATE_DATE	FILE_LOCATION	FILE_NAME
Text Transcript	Text	21198/zz0008z8sz	Master	4	1043741	2010-04-28 11:14:49	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8sz-4-master.html	21198-zz0008z8sz-4-master.html
PDF	PDF	21198/zz0008z8sz	Submaster	5	1004986	2015-11-20 10:25:14	database	21198-zz0008z8sz-5-submaster.pdf
PDF	PDF	21198/zz0008z8sz	Master	5	1004986	2015-11-20 10:25:14	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z8sz-5-master.pdf	21198-zz0008z8sz-5-master.pdf
Text Interview History	Text	21198/zz0008z8v0	Master	1	4472	2012-02-01 12:51:01	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8v0-1-master.xml	21198-zz0008z8v0-1-master.xml
Text Interview History	Text	21198/zz0008z8v0	Submaster	1	4472	2012-02-01 12:51:01	database	21198-zz0008z8v0-1-submaster.xml
Text Transcript	Text	21198/zz0008z8v0	Master	2	1969229	2012-02-01 12:51:14	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8v0-2-master.xml	21198-zz0008z8v0-2-master.xml
Text Transcript	Text	21198/zz0008z8v0	Submaster	2	1969229	2012-02-01 12:51:14	database	21198-zz0008z8v0-2-submaster.xml
Text Transcript	Text	21198/zz0008z8v0	Submaster	3	2273719	2012-02-01 12:51:36	database	21198-zz0008z8v0-3-submaster.html
Text Transcript	Text	21198/zz0008z8v0	Master	3	2273719	2012-02-01 12:51:36	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z8v0-3-master.html	21198-zz0008z8v0-3-master.html
PDF	PDF	21198/zz0008z8v0	Submaster	4	2151370	2015-11-25 10:25:03	database	21198-zz0008z8v0-4-submaster.pdf
PDF	PDF	21198/zz0008z8v0	Master	4	2151370	2015-11-25 10:25:03	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z8v0-4-master.pdf	21198-zz0008z8v0-4-master.pdf
Text Interview History	Text	21198/zz0008z90j	Submaster	2	3056	2010-03-17 11:00:04	database	21198-zz0008z90j-2-submaster.xml
Text Interview History	Text	21198/zz0008z90j	Master	2	3056	2010-03-17 11:00:04	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z90j-2-master.xml	21198-zz0008z90j-2-master.xml
Text Transcript	Text	21198/zz0008z90j	Submaster	3	578894	2010-03-17 11:00:15	database	21198-zz0008z90j-3-submaster.xml
Text Transcript	Text	21198/zz0008z90j	Master	3	578894	2010-03-17 11:00:15	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z90j-3-master.xml	21198-zz0008z90j-3-master.xml
Text Transcript	Text	21198/zz0008z90j	Submaster	4	761402	2010-03-17 11:01:15	database	21198-zz0008z90j-4-submaster.html
