ARK	TYPE	VALUE	SOURCE
21198/zz0008zbqw	typeOfResource	text	MODS
21198/zz0008zgb4	typeOfResource	text	MODS
21198/zz00093stx	typeOfResource	text	MODS
21198/zz00161mjm	typeOfResource	text	MODS
21198/zz0015wcsn	typeOfResource	text	MODS
21198/zz00175s83	typeOfResource	text	MODS
21198/zz00179drt	typeOfResource	text	MODS
21198/zz002kd8h4	typeOfResource	text	MODS
21198/zz002k6t0d	typeOfResource	text	MODS
21198/zz002d3jjd	typeOfResource	text	MODS
21198/zz002kd053	typeOfResource	text	MODS
21198/zz002hzgpz	typeOfResource	text	MODS
21198/zz002d3kvj	typeOfResource	text	MODS
21198/zz002kc9xc	typeOfResource	text	MODS
21198/zz002kbrjh	typeOfResource	text	MODS
21198/zz002k31ns	typeOfResource	text	MODS
21198/zz002jb3r1	typeOfResource	text	MODS
21198/zz002kcjz8	typeOfResource	text	MODS
21198/zz002hjgv5	typeOfResource	text	MODS
21198/zz00293f4h	typeOfResource	text	MODS
21198/zz002btcq5	typeOfResource	text	MODS
21198/zz002kp176	typeOfResource	text	MODS
21198/zz00096sw9	typeOfResource	text	MODS
21198/zz0025mwz8	typeOfResource	text	MODS
21198/zz002kd0pv	typeOfResource	text	MODS
21198/zz002k359j	typeOfResource	text	MODS
21198/zz0015tgq5	typeOfResource	text	MODS
21198/zz002j762s	typeOfResource	text	MODS
21198/zz00096tc1	typeOfResource	text	MODS
21198/zz002hj3zd	typeOfResource	text	MODS
21198/zz002kd5zd	typeOfResource	text	MODS
21198/zz002kcp17	typeOfResource	text	MODS
21198/zz002b0sws	typeOfResource	text	MODS
21198/zz001d0qd1	typeOfResource	text	MODS
21198/zz0027p6p6	typeOfResource	text	MODS
21198/zz002bz9x3	typeOfResource	text	MODS
21198/zz002bz9zm	typeOfResource	text	MODS
21198/zz002cftg9	typeOfResource	text	MODS
21198/zz002jxzk4	typeOfResource	text	MODS
21198/zz002jb72m	typeOfResource	text	MODS
21198/zz0025mnq8	typeOfResource	text	MODS
21198/zz002hkcwp	typeOfResource	text	MODS
21198/zz002kd032	typeOfResource	text	MODS
21198/zz002kdcxs	typeOfResource	text	MODS
21198/zz002c2fm4	typeOfResource	text	MODS
21198/zz002czx49	typeOfResource	text	MODS
21198/zz0028vf3f	typeOfResource	text	MODS
21198/zz002kdgs5	typeOfResource	text	MODS
21198/zz002k7gsx	typeOfResource	text	MODS
21198/zz002jkbgd	typeOfResource	text	MODS
21198/zz00096jxf	typeOfResource	text	MODS
21198/zz002cftfs	typeOfResource	text	MODS
21198/zz000902rd	typeOfResource	text	MODS
21198/zz0008z9kb	typeOfResource	text	MODS
21198/zz0008z9nc	typeOfResource	text	MODS
21198/zz0008z9xh	typeOfResource	text	MODS
21198/zz0008zktt	typeOfResource	text	MODS
21198/zz0008zh72	typeOfResource	text	MODS
21198/zz0008zk1x	typeOfResource	text	MODS
21198/zz0008zv4b	typeOfResource	text	MODS
21198/zz0008zv9x	typeOfResource	text	MODS
21198/zz0008zvtp	typeOfResource	text	MODS
21198/zz0008zv29	typeOfResource	text	MODS
21198/zz0008zvpm	typeOfResource	text	MODS
21198/zz0008zvq4	typeOfResource	text	MODS
21198/zz0008z7br	typeOfResource	text	MODS
21198/zz0008zwqm	typeOfResource	text	MODS
21198/zz0008zq1v	typeOfResource	text	MODS
